,DEPARTAMENTO,PROVINCIA,DISTRITO,Ollanta1,Ollanta2,key,redpub_porc,dni_porc,elec_porc,salud_porc,edu_porc,trabajo_porc,Ollanta_1a_Vuelta,Ollanta_2a_Vuelta,estado_dni,estado_salud,estado_agua,estado_electricidad,ciudadania_educacion,ciudadania_trabajo,presencia_estado
0,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,0.26650520272694656,0.5752758231257058,CHACHAPOYAS_CHACHAPOYAS,70.98901098901099,97.23582474226804,90.89481946624804,45.35694891181753,47.83336269156245,35.00764359030356,<50%,Mas50%,3,2,2,3,25_50%,25_50%,2.Media
1,AMAZONAS,CHACHAPOYAS,ASUNCION,0.29285714285714287,0.7133757961783439,CHACHAPOYAS_ASUNCION,0.0,96.51741293532339,47.19101123595505,64.3598615916955,24.087591240875913,9.58904109589041,<50%,Mas50%,3,2,1,2,<25%,<25%,1.Baja
2,AMAZONAS,CHACHAPOYAS,BALSAS,0.1378026070763501,0.34177215189873417,CHACHAPOYAS_BALSAS,2.3323615160349855,90.3061224489796,39.650145772594755,50.24982155603141,18.876755070202808,6.638115631691649,<50%,<50%,3,2,1,2,<25%,<25%,1.Baja
3,AMAZONAS,CHACHAPOYAS,CHETO,0.4623955431754875,0.6384615384615384,CHACHAPOYAS_CHETO,3.614457831325301,97.72727272727273,78.3132530120482,45.017182130584196,17.636363636363637,3.361344537815126,<50%,Mas50%,3,2,1,3,<25%,<25%,2.Media
4,AMAZONAS,CHACHAPOYAS,CHILIQUIN,0.26366559485530544,0.37376237623762376,CHACHAPOYAS_CHILIQUIN,10.526315789473683,93.64485981308411,44.93927125506073,52.526439482961216,9.336609336609335,4.594594594594595,<50%,<50%,3,2,1,2,<25%,<25%,1.Baja
5,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,0.2113564668769716,0.40425531914893614,CHACHAPOYAS_CHUQUIBAMBA,18.5546875,92.77003484320558,59.375,55.930568948891036,25.94706798131811,14.393939393939394,<50%,<50%,3,2,1,2,25_50%,<25%,1.Baja
6,AMAZONAS,CHACHAPOYAS,GRANADA,0.3481781376518219,0.5666666666666667,CHACHAPOYAS_GRANADA,0.0,88.18897637795276,61.34453781512605,30.51643192488263,18.858560794044664,5.555555555555555,<50%,Mas50%,3,2,1,2,<25%,<25%,1.Baja
7,AMAZONAS,CHACHAPOYAS,HUANCAS,0.3682170542635659,0.5520833333333334,CHACHAPOYAS_HUANCAS,3.7383177570093453,84.53453453453453,83.17757009345794,20.27194066749073,28.517110266159694,2.307692307692308,<50%,Mas50%,3,1,1,3,25_50%,<25%,1.Baja
8,AMAZONAS,CHACHAPOYAS,LA JALCA,0.5990516332982087,0.74364896073903,CHACHAPOYAS_LA JALCA,0.4885993485342019,95.91024249004705,45.27687296416938,43.88098802395209,18.3756345177665,6.0873834069710355,Mas50%,Mas50%,3,2,1,2,<25%,<25%,1.Baja
9,AMAZONAS,CHACHAPOYAS,LEYMEBAMBA,0.16204986149584488,0.45118898623279097,CHACHAPOYAS_LEYMEBAMBA,66.6058394160584,91.3365259033522,53.64963503649635,43.69576314446146,27.47883092051352,12.61437908496732,<50%,<50%,3,2,2,2,25_50%,<25%,2.Media
10,AMAZONAS,CHACHAPOYAS,LEVANTO,0.24901960784313726,0.463768115942029,CHACHAPOYAS_LEVANTO,0.0,95.30434782608695,46.963562753036435,53.54497354497354,18.181818181818183,1.881720430107527,<50%,<50%,3,2,1,2,<25%,<25%,1.Baja
11,AMAZONAS,CHACHAPOYAS,MAGDALENA,0.33171912832929784,0.5485232067510548,CHACHAPOYAS_MAGDALENA,0.0,95.32163742690058,75.80645161290323,43.97727272727273,31.559854897218862,14.17910447761194,<50%,Mas50%,3,2,1,3,25_50%,<25%,2.Media
12,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,0.2648221343873518,0.48300536672629696,CHACHAPOYAS_MARISCAL CASTILLA,75.50335570469798,94.46935724962631,59.06040268456376,38.869257950530034,27.57660167130919,7.644628099173553,<50%,<50%,3,2,3,2,25_50%,<25%,2.Media
13,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,0.3650273224043716,0.5992179863147605,CHACHAPOYAS_MOLINOPAMPA,17.033773861967695,93.89830508474576,38.61967694566813,46.74130347860856,24.325481798715202,8.442982456140351,<50%,Mas50%,3,2,1,2,<25%,<25%,1.Baja
14,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,0.24433249370277077,0.5635103926096998,CHACHAPOYAS_MONTEVIDEO,5.154639175257731,96.35922330097088,90.72164948453609,40.37626628075253,38.06552262090484,12.643678160919542,<50%,Mas50%,3,2,1,3,25_50%,<25%,2.Media
15,AMAZONAS,CHACHAPOYAS,OLLEROS,0.41545893719806765,0.6410256410256411,CHACHAPOYAS_OLLEROS,0.0,97.0464135021097,64.07766990291263,67.32394366197182,20.0,6.779661016949152,<50%,Mas50%,3,2,1,2,<25%,<25%,1.Baja
16,AMAZONAS,CHACHAPOYAS,QUINJALCA,0.3388888888888889,0.7643020594965675,CHACHAPOYAS_QUINJALCA,5.555555555555555,90.93851132686083,38.148148148148145,34.90364025695932,14.013452914798204,4.060913705583756,<50%,mas75%,3,2,1,2,<25%,<25%,1.Baja
17,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,0.35602094240837695,0.6367924528301887,CHACHAPOYAS_SAN FRANCISCO DE DAGUAS,67.41573033707866,94.11764705882352,80.89887640449437,38.741721854304636,28.27586206896552,22.5,<50%,Mas50%,3,2,2,3,25_50%,<25%,2.Media
